megye,ev,szam
Municipiul Bucuresti,2020,2021
Mures,2020,584
Neamt,2020,624
Olt,2020,243
Prahova,2020,840
Salaj,2020,255
Satu Mare,2020,388
Sibiu,2020,554
Suceava,2020,774
Teleorman,2020,400
Timis,2020,736
Tulcea,2020,220
Valcea,2020,144
Vaslui,2020,525
Vrancea,2020,253
Alba,2021,578
Arad,2021,361
Arges,2021,848
Bacau,2021,910
Bihor,2021,927
Bistrita-Nasaud,2021,429
Botosani,2021,601
Braila,2021,470
Brasov,2021,997
Buzau,2021,493
Calarasi,2021,264
Caras-Severin,2021,388
Cluj,2021,654
Constanta,2021,1140
Covasna,2021,227
Dambovita,2021,670
Dolj,2021,521
Galati,2021,903
Giurgiu,2021,363
Gorj,2021,535
Harghita,2021,333
Hunedoara,2021,728
Ialomita,2021,328
Iasi,2021,1239
Ilfov,2021,565
Maramures,2021,639
Mehedinti,2021,362
Municipiul Bucuresti,2021,2600
Mures,2021,765
Neamt,2021,533
Olt,2021,531
Prahova,2021,1004
Salaj,2021,338
Satu Mare,2021,499
Sibiu,2021,654
Suceava,2021,838
Teleorman,2021,407
Timis,2021,776
Tulcea,2021,360
Valcea,2021,205
Vaslui,2021,704
Vrancea,2021,337
Alba,2022,444
Arad,2022,495
Arges,2022,1039
Bacau,2022,822
Bihor,2022,806
Bistrita-Nasaud,2022,351
Botosani,2022,497
Braila,2022,517
Brasov,2022,966
Buzau,2022,367
Calarasi,2022,323
Caras-Severin,2022,164
Cluj,2022,588
Constanta,2022,1009
Covasna,2022,198
Dambovita,2022,629
Dolj,2022,477
Galati,2022,581
Giurgiu,2022,207
Gorj,2022,555
Harghita,2022,270
Hunedoara,2022,601
Ialomita,2022,256
Iasi,2022,949
Ilfov,2022,542
Maramures,2022,598
Mehedinti,2022,280
Municipiul Bucuresti,2022,2016
Mures,2022,524
Neamt,2022,616
Olt,2022,312
Prahova,2022,842
Salaj,2022,257
Satu Mare,2022,414
Sibiu,2022,529
Suceava,2022,783
Teleorman,2022,399
Timis,2022,747
Tulcea,2022,253
Valcea,2022,334
Vaslui,2022,500
Vrancea,2022,232
