megye,ev,szam
Alba,1997,668
Arad,1997,915
Arges,1997,889
Bacau,1997,1483
Bihor,1997,547
Bistrita-Nasaud,1997,448
Botosani,1997,724
Braila,1997,737
Brasov,1997,1411
Buzau,1997,719
Calarasi,1997,644
Caras-Severin,1997,612
Cluj,1997,774
Constanta,1997,905
Covasna,1997,331
Dambovita,1997,1066
Dolj,1997,869
Galati,1997,1029
Giurgiu,1997,341
Gorj,1997,858
Harghita,1997,421
Hunedoara,1997,1454
Ialomita,1997,467
Iasi,1997,1248
Ilfov,1997,118
Maramures,1997,774
Mehedinti,1997,413
Municipiul Bucuresti,1997,2646
Mures,1997,739
Neamt,1997,886
Olt,1997,677
Prahova,1997,1364
Salaj,1997,310
Satu Mare,1997,676
Sibiu,1997,954
Suceava,1997,1252
Teleorman,1997,538
Timis,1997,1280
Tulcea,1997,511
Valcea,1997,590
Vaslui,1997,679
Vrancea,1997,785
Alba,1998,725
Arad,1998,1125
Arges,1998,1339
Bacau,1998,2015
Bihor,1998,663
Bistrita-Nasaud,1998,628
Botosani,1998,802
Braila,1998,826
Brasov,1998,1288
Buzau,1998,897
Calarasi,1998,650
Caras-Severin,1998,750
Cluj,1998,964
Constanta,1998,924
Covasna,1998,513
Dambovita,1998,703
Dolj,1998,834
Galati,1998,1359
Giurgiu,1998,364
Gorj,1998,750
Harghita,1998,449
Hunedoara,1998,1687
Ialomita,1998,476
Iasi,1998,1585
Ilfov,1998,155
Maramures,1998,1082
Mehedinti,1998,501
Municipiul Bucuresti,1998,3553
Mures,1998,1000
Neamt,1998,863
Olt,1998,579
Prahova,1998,1565
Salaj,1998,321
Satu Mare,1998,687
Sibiu,1998,1114
Suceava,1998,1531
Teleorman,1998,543
Timis,1998,1457
Tulcea,1998,591
Valcea,1998,580
Vaslui,1998,634
Vrancea,1998,913
Alba,1999,616
Arad,1999,943
Arges,1999,864
Bacau,1999,1709
Bihor,1999,473
Bistrita-Nasaud,1999,471
Botosani,1999,662
Braila,1999,658
Brasov,1999,1277
Buzau,1999,692
Calarasi,1999,478
Caras-Severin,1999,573
Cluj,1999,869
Constanta,1999,880
Covasna,1999,352
Dambovita,1999,841
Dolj,1999,699
Galati,1999,1262
Giurgiu,1999,276
Gorj,1999,502
Harghita,1999,365
Hunedoara,1999,1606
Ialomita,1999,423
Iasi,1999,1254
Ilfov,1999,127
Maramures,1999,804
Mehedinti,1999,466
Municipiul Bucuresti,1999,3293
Mures,1999,836
Neamt,1999,739
Olt,1999,495
Prahova,1999,1708
Salaj,1999,275
Satu Mare,1999,640
Sibiu,1999,913
