Ev,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Maculin ,25,25,25.2,25.4,25.6,26.0,26.0,26.2,26.4,26.5,26.9,27.2,27.3,27.7,28.3,28.5,28.6,29.8,29.1,29.1,29.1,29.3,29.6,29.9,30.4,30.6,30.8,31.5,31.9,31.6,31.4,31.6,32.1
Feminin,22,22,22.1,22.2,22.4,22.8,22.8,22.9,23.2,23.3,23.6,23.9,24.1,24.4,25.0,25.2,25.3,26.3,25.9,25.8,26.0,26.2,26.4,26.7,27.3,27.4,27.6,28.2,28.7,28.3,28.1,28.3,28.8
