megye,ev,szam
Braila,2001,2268
Braila,2002,2058
Braila,2003,2186
Braila,2005,1986
Braila,2006,2013
Braila,2007,2709
Braila,2008,1988
Braila,2009,1872
Braila,2010,1478
Braila,2011,1378
Braila,2012,1387
Braila,2013,1379
Braila,2014,1450
Braila,2015,1509
Braila,2016,1692
Braila,2017,1732
Braila,2018,1723
Braila,2019,1650
Braila,2020,961
Braila,2021,1397
Braila,2022,1516
Braila,3004,2273
Brasov,1990,5338
Brasov,1991,4797
Brasov,1992,4588
Brasov,1993,4386
Brasov,1994,4036
Brasov,1995,4025
Brasov,1996,4270
Brasov,1997,3982
Brasov,1998,4063
Brasov,1999,3894
Brasov,2000,3948
Brasov,2001,3767
Brasov,2002,3577
Brasov,2003,3801
Brasov,2005,3881
Brasov,2006,4085
Brasov,2007,5861
Brasov,2008,4194
Brasov,2009,3997
Brasov,2010,3618
Brasov,2011,3330
Brasov,2012,3280
Brasov,2013,3342
Brasov,2014,3420
Brasov,2015,3580
Brasov,2016,3864
Brasov,2017,3962
Brasov,2018,3889
Brasov,2019,3776
Brasov,2020,2463
Brasov,2021,3234
Brasov,2022,3285
Brasov,3004,3916
Buzau,1990,4360
Buzau,1991,4208
Buzau,1992,4207
Buzau,1993,3949
Buzau,1994,3766
Buzau,1995,3574
Buzau,1996,3267
Buzau,1997,3278
Buzau,1998,3179
Buzau,1999,3036
Buzau,2000,2819
Buzau,2001,2679
Buzau,2002,2630
Buzau,2003,2735
Buzau,2005,2697
Buzau,2006,2829
Buzau,2007,4284
Buzau,2008,2841
Buzau,2009,2581
Buzau,2010,2076
Buzau,2011,1846
Buzau,2012,1875
Buzau,2013,1780
Buzau,2014,1930
Buzau,2015,2029
Buzau,2016,2237
Buzau,2017,2335
Buzau,2018,2279
Buzau,2019,2275
Buzau,2020,1522
Buzau,2021,2327
Buzau,2022,2642
Buzau,3004,3228
Calarasi,1990,2986
Calarasi,1991,2648
Calarasi,1992,2619
Calarasi,1993,2489
Calarasi,1994,2121
Calarasi,1995,2158
Calarasi,1996,1946
Calarasi,1997,1875
Calarasi,1998,1768
Calarasi,1999,1702
Calarasi,2000,1530
Calarasi,2001,1517
Calarasi,2002,1469
Calarasi,2003,1570
Calarasi,2005,1944
Calarasi,2006,2249
Calarasi,2007,3117
Calarasi,2008,2025
Calarasi,2009,1714
Calarasi,2010,1341
Calarasi,2011,1173
Calarasi,2012,1239
Calarasi,2013,1217
Calarasi,2014,1251
Calarasi,2015,1463
Calarasi,2016,1596
Calarasi,2017,1662
Calarasi,2018,1643
Calarasi,2019,1697
Calarasi,2020,1159
Calarasi,2021,1433
Calarasi,2022,1622
Calarasi,3004,1869
Caras-Severin,1990,3130
Caras-Severin,1991,2911
Caras-Severin,1992,2553
Caras-Severin,1993,2338
Caras-Severin,1994,2341
Caras-Severin,1995,2311
Caras-Severin,1996,2316
Caras-Severin,1997,2265
Caras-Severin,1998,2302
Caras-Severin,1999,2144
Caras-Severin,2000,2075
Caras-Severin,2001,2142
Caras-Severin,2002,2344
Caras-Severin,2003,2667
Caras-Severin,2005,2457
Caras-Severin,2006,2502
Caras-Severin,2007,2926
Caras-Severin,2008,2123
Caras-Severin,2009,1963
Caras-Severin,2010,1747
Caras-Severin,2011,1638
Caras-Severin,2012,1614
Caras-Severin,2013,1629
Caras-Severin,2014,1714
Caras-Severin,2015,1806
Caras-Severin,2016,1903
Caras-Severin,2017,1921
Caras-Severin,2018,1919
Caras-Severin,2019,1698
Caras-Severin,2020,1076
Caras-Severin,2021,1383
Caras-Severin,2022,1343
Caras-Severin,3004,2844
Cluj,1990,5614
Cluj,1991,5433
Cluj,1992,5123
Cluj,1993,4919
Cluj,1994,4741
Cluj,1995,4826
Cluj,1996,4633
Cluj,1997,4495
Cluj,1998,4587
Cluj,1999,4618
Cluj,2000,4283
Cluj,2001,4138
Cluj,2002,3933
Cluj,2003,4078
Cluj,2005,4503
Cluj,2006,4748
Cluj,2007,5249
Cluj,2008,4577
Cluj,2009,4451
Cluj,2010,4093
Cluj,2011,3780
Cluj,2012,3967
Cluj,2013,4088
Cluj,2014,5083
Cluj,2015,5019
Cluj,2016,5091
Cluj,2017,4785
Cluj,2018,4742
Cluj,2019,4572
Cluj,2020,2990
Cluj,2021,4022
Cluj,2022,4366
Cluj,3004,4669
Constanta,1990,6654
Constanta,1991,6134
Constanta,1992,5819
Constanta,1993,5368
Constanta,1994,4915
Constanta,1995,5022
Constanta,1996,5021
Constanta,1997,4971
Constanta,1998,4995
Constanta,1999,4717
Constanta,2000,4690
Constanta,2001,4479
Constanta,2002,4562
Constanta,2003,4829
Constanta,2005,5315
Constanta,2006,5416
Constanta,2007,6945
Constanta,2008,5764
Constanta,2009,5262
Constanta,2010,4256
Constanta,2011,4005
Constanta,2012,4139
Constanta,2013,3969
Constanta,2014,4176
Constanta,2015,4635
Constanta,2016,4767
Constanta,2017,4816
Constanta,2018,4973
Constanta,2019,4561
Constanta,2020,3110
Constanta,2021,4146
Constanta,2022,4195
Constanta,3004,6022
Covasna,1990,1589
Covasna,1991,1496
Covasna,1992,1502
Covasna,1993,1289
Covasna,1994,1271
Covasna,1995,1465
Covasna,1996,1461
Covasna,1997,1343
