megye,ev,szam
Buzau,1995,636
Buzau,1996,828
Buzau,1997,719
Buzau,1998,897
Buzau,1999,692
Buzau,2000,706
Buzau,2001,749
Buzau,2002,698
Buzau,2003,736
Buzau,2004,785
Buzau,2005,726
Buzau,2006,821
Buzau,2007,873
Buzau,2008,825
Buzau,2009,781
Buzau,2010,824
Buzau,2011,746
Buzau,2012,490
Buzau,2013,556
Buzau,2014,526
Buzau,2015,628
Buzau,2016,656
Buzau,2017,601
Buzau,2018,515
Buzau,2019,547
Buzau,2020,380
Buzau,2021,493
Buzau,2022,367
Calarasi,1990,385
Calarasi,1991,467
Calarasi,1992,342
Calarasi,1993,331
Calarasi,1994,459
Calarasi,1995,470
Calarasi,1996,461
Calarasi,1997,644
Calarasi,1998,650
Calarasi,1999,478
Calarasi,2000,404
Calarasi,2001,426
Calarasi,2002,488
Calarasi,2003,546
Calarasi,2004,633
Calarasi,2005,715
Calarasi,2006,690
Calarasi,2007,851
Calarasi,2008,691
Calarasi,2009,592
Calarasi,2010,597
Calarasi,2011,579
Calarasi,2012,503
Calarasi,2013,419
Calarasi,2014,414
Calarasi,2015,487
Calarasi,2016,419
Calarasi,2017,424
Calarasi,2018,418
Calarasi,2019,409
Calarasi,2020,340
Calarasi,2021,264
Calarasi,2022,323
Caras-Severin,1990,566
Caras-Severin,1991,663
Caras-Severin,1992,681
Caras-Severin,1993,617
Caras-Severin,1994,734
Caras-Severin,1995,697
Caras-Severin,1996,571
Caras-Severin,1997,612
Caras-Severin,1998,750
Caras-Severin,1999,573
Caras-Severin,2000,462
Caras-Severin,2001,588
Caras-Severin,2002,522
Caras-Severin,2003,494
Caras-Severin,2004,591
Caras-Severin,2005,570
Caras-Severin,2006,590
Caras-Severin,2007,549
Caras-Severin,2008,661
Caras-Severin,2009,721
Caras-Severin,2010,661
Caras-Severin,2011,800
Caras-Severin,2012,577
Caras-Severin,2013,579
Caras-Severin,2014,553
Caras-Severin,2015,604
Caras-Severin,2016,598
Caras-Severin,2017,544
Caras-Severin,2018,507
Caras-Severin,2019,468
Caras-Severin,2020,290
Caras-Severin,2021,388
Caras-Severin,2022,164
Cluj,1990,1053
Cluj,1991,1091
Cluj,1992,1003
Cluj,1993,1032
Cluj,1994,836
Cluj,1995,919
Cluj,1996,806
Cluj,1997,774
Cluj,1998,964
Cluj,1999,869
Cluj,2000,839
Cluj,2001,739
Cluj,2002,1022
Cluj,2003,1025
Cluj,2004,1267
Cluj,2005,1036
Cluj,2006,979
Cluj,2007,1053
Cluj,2008,1291
Cluj,2009,1133
Cluj,2010,1041
Cluj,2011,1104
Cluj,2012,1017
Cluj,2013,701
Cluj,2014,696
Cluj,2015,708
Cluj,2016,768
Cluj,2017,850
Cluj,2018,778
Cluj,2019,932
Cluj,2020,672
Cluj,2021,654
Cluj,2022,588
Constanta,1990,1112
Constanta,1991,1453
Constanta,1992,897
Constanta,1993,957
Constanta,1994,870
Constanta,1995,693
Constanta,1996,841
Constanta,1997,905
Constanta,1998,924
Constanta,1999,880
Constanta,2000,1259
Constanta,2001,1409
Constanta,2002,1174
Constanta,2003,1039
Constanta,2004,1023
Constanta,2005,974
Constanta,2006,882
Constanta,2007,957
Constanta,2008,935
Constanta,2009,773
Constanta,2010,912
Constanta,2011,1211
Constanta,2012,1181
Constanta,2013,1271
Constanta,2014,1282
Constanta,2015,1331
Constanta,2016,1398
Constanta,2017,1222
Constanta,2018,1178
Constanta,2019,1300
Constanta,2020,984
Constanta,2021,1140
Constanta,2022,1009
Covasna,1990,209
Covasna,1991,269
Covasna,1992,171
Covasna,1993,168
Covasna,1994,398
Covasna,1995,379
Covasna,1996,391
Covasna,1997,331
Covasna,1998,513
Covasna,1999,352
Covasna,2000,297
Covasna,2001,290
Covasna,2002,275
Covasna,2003,322
Covasna,2004,400
Covasna,2005,396
Covasna,2006,334
Covasna,2007,354
Covasna,2008,326
Covasna,2009,285
Covasna,2010,327
Covasna,2011,283
Covasna,2012,315
Covasna,2013,203
Covasna,2014,164
Covasna,2015,293
Covasna,2016,311
Covasna,2017,233
Covasna,2018,269
Covasna,2019,259
Covasna,2020,218
Covasna,2021,227
Covasna,2022,198
Dambovita,1990,766
Dambovita,1991,894
Dambovita,1992,569
Dambovita,1993,591
Dambovita,1994,942
Dambovita,1995,737
Dambovita,1996,724
Dambovita,1997,1066
Dambovita,1998,703
Dambovita,1999,841
Dambovita,2000,753
Dambovita,2001,942
Dambovita,2002,899
Dambovita,2003,905
Dambovita,2004,968
Dambovita,2005,816
Dambovita,2006,882
Dambovita,2007,833
Dambovita,2008,885
Dambovita,2009,770
Dambovita,2010,793
Dambovita,2011,896
Dambovita,2012,669
Dambovita,2013,640
Dambovita,2014,548
Dambovita,2015,842
Dambovita,2016,759
Dambovita,2017,720
Dambovita,2018,864
Dambovita,2019,877
Dambovita,2020,596
Dambovita,2021,670
Dambovita,2022,629
Dolj,1990,1368
Dolj,1991,818
Dolj,1992,739
Dolj,1993,802
Dolj,1994,1068
Dolj,1995,1072
Dolj,1996,814
Dolj,1997,869
Dolj,1998,834
Dolj,1999,699
Dolj,2000,514
Dolj,2001,593
Dolj,2002,317
Dolj,2003,434
Dolj,2004,397
Dolj,2005,379
Dolj,2006,390
Dolj,2007,697
Dolj,2008,728
Dolj,2009,586
Dolj,2010,341
Dolj,2011,380
Dolj,2012,482
Dolj,2013,428
Dolj,2014,444
Dolj,2015,526
Dolj,2016,587
Dolj,2017,571
Dolj,2018,616
Dolj,2019,605
Dolj,2020,476
Dolj,2021,521
Dolj,2022,477
Galati,1990,970
Galati,1991,1289
Galati,1992,1012
Galati,1993,947
Galati,1994,881
Galati,1995,1167
Galati,1996,1169
Galati,1997,1029
Galati,1998,1359
Galati,1999,1262
Galati,2000,1249
Galati,2001,1045
Galati,2002,1145
Galati,2003,1356
Galati,2004,1360
Galati,2005,1272
Galati,2006,1511
Galati,2007,1515
Galati,2008,1454
Galati,2009,978
Galati,2010,1005
Galati,2011,1286
Galati,2012,1105
Galati,2013,889
Galati,2014,748
Galati,2015,1145
Galati,2016,926
Galati,2017,964
Galati,2018,755
Galati,2019,517
Galati,2020,808
Galati,2021,903
Galati,2022,581
Giurgiu,1990,324
Giurgiu,1991,369
Giurgiu,1992,229
Giurgiu,1993,240
Giurgiu,1994,396
Giurgiu,1995,340
Giurgiu,1996,212
Giurgiu,1997,341
Giurgiu,1998,364
Giurgiu,1999,276
Giurgiu,2000,214
Giurgiu,2001,194
Giurgiu,2002,151
Giurgiu,2003,154
Giurgiu,2004,173
Giurgiu,2005,210
Giurgiu,2006,183
Giurgiu,2007,188
Giurgiu,2008,252
Giurgiu,2009,237
Giurgiu,2010,255
Giurgiu,2011,300
Giurgiu,2012,297
Giurgiu,2013,264
Giurgiu,2014,148
Giurgiu,2015,226
Giurgiu,2016,316
Giurgiu,2017,355
Giurgiu,2018,251
Giurgiu,2019,310
Giurgiu,2020,276
Giurgiu,2021,363
Giurgiu,2022,207
Gorj,1990,531
Gorj,1991,688
Gorj,1992,544
Gorj,1993,580
Gorj,1994,749
Gorj,1995,719
Gorj,1996,783
Gorj,1997,858
Gorj,1998,750
Gorj,1999,502
Gorj,2000,292
Gorj,2001,417
Gorj,2002,441
Gorj,2003,614
Gorj,2004,513
Gorj,2005,521
Gorj,2006,509
Gorj,2007,379
Gorj,2008,317
Gorj,2009,620
Gorj,2010,415
Gorj,2011,400
Gorj,2012,606
Gorj,2013,625
Gorj,2014,573
Gorj,2015,584
Gorj,2016,615
Gorj,2017,689
Gorj,2018,674
Gorj,2019,680
Gorj,2020,482
Gorj,2021,535
Gorj,2022,555
Harghita,1990,337
Harghita,1991,371
Harghita,1992,346
Harghita,1993,395
Harghita,1994,473
Harghita,1995,412
Harghita,1996,440
Harghita,1997,421
Harghita,1998,449
Harghita,1999,365
Harghita,2000,330
Harghita,2001,328
Harghita,2002,336
Harghita,2003,396
Harghita,2004,395
Harghita,2005,382
Harghita,2006,374
Harghita,2007,364
Harghita,2008,372
Harghita,2009,338
Harghita,2010,384
Harghita,2011,404
Harghita,2012,371
Harghita,2013,349
Harghita,2014,286
Harghita,2015,341
Harghita,2016,333
Harghita,2017,356
Harghita,2018,334
Harghita,2019,366
Harghita,2020,282
Harghita,2021,333
Harghita,2022,270
Hunedoara,1990,1024
Hunedoara,1991,1383
Hunedoara,1992,1128
Hunedoara,1993,1481
Hunedoara,1994,1466
Hunedoara,1995,1487
Hunedoara,1996,1506
Hunedoara,1997,1454
Hunedoara,1998,1687
Hunedoara,1999,1606
Hunedoara,2000,1306
Hunedoara,2001,1241
Hunedoara,2002,1433
Hunedoara,2003,1463
Hunedoara,2004,1377
Hunedoara,2005,1162
Hunedoara,2006,1278
Hunedoara,2007,1315
Hunedoara,2008,1265
Hunedoara,2009,1091
Hunedoara,2010,1198
Hunedoara,2011,1174
Hunedoara,2012,999
Hunedoara,2013,854
Hunedoara,2014,735
Hunedoara,2015,803
Hunedoara,2016,750
Hunedoara,2017,797
Hunedoara,2018,830
Hunedoara,2019,824
Hunedoara,2020,558
Hunedoara,2021,728
Hunedoara,2022,601
Ialomita,1990,319
Ialomita,1991,439
Ialomita,1992,345
Ialomita,1993,389
Ialomita,1994,544
Ialomita,1995,437
Ialomita,1996,455
Ialomita,1997,467
Ialomita,1998,476
Ialomita,1999,423
Ialomita,2000,427
Ialomita,2001,394
Ialomita,2002,404
Ialomita,2003,376
Ialomita,2004,468
Ialomita,2005,382
Ialomita,2006,365
Ialomita,2007,486
Ialomita,2008,486
Ialomita,2009,353
Ialomita,2010,334
Ialomita,2011,468
Ialomita,2012,411
Ialomita,2013,363
Ialomita,2014,269
Ialomita,2015,344
Ialomita,2016,413
Ialomita,2017,325
Ialomita,2018,438
Ialomita,2019,371
Ialomita,2020,383
Ialomita,2021,328
Ialomita,2022,256
Iasi,1990,1120
Iasi,1991,1161
Iasi,1992,674
Iasi,1993,743
Iasi,1994,1361
Iasi,1995,1191
Iasi,1996,1183
Iasi,1997,1248
Iasi,1998,1585
Iasi,1999,1254
Iasi,2000,1103
Iasi,2001,1001
Iasi,2002,849
Iasi,2003,841
Iasi,2004,889
Iasi,2005,707
Iasi,2006,602
Iasi,2007,552
Iasi,2008,792
Iasi,2009,783
Iasi,2010,973
Iasi,2011,967
Iasi,2012,891
Iasi,2013,1094
Iasi,2014,1046
Iasi,2015,1106
Iasi,2016,1074
Iasi,2017,1103
Iasi,2018,1293
Iasi,2019,1109
Iasi,2020,1028
Iasi,2021,1239
Iasi,2022,949
Ilfov,1990,318
Ilfov,1991,293
Ilfov,1992,220
Ilfov,1993,181
Ilfov,1994,251
Ilfov,1995,186
Ilfov,1996,120
Ilfov,1997,118
Ilfov,1998,155
Ilfov,1999,127
Ilfov,2000,149
Ilfov,2001,194
Ilfov,2002,135
Ilfov,2003,204
Ilfov,2004,194
Ilfov,2005,130
Ilfov,2006,133
Ilfov,2007,259
Ilfov,2008,354
Ilfov,2009,395
Ilfov,2010,339
Ilfov,2011,346
Ilfov,2012,293
Ilfov,2013,366
Ilfov,2014,476
Ilfov,2015,563
Ilfov,2016,748
Ilfov,2017,782
Ilfov,2018,858
Ilfov,2019,782
Ilfov,2020,524
Ilfov,2021,565
Ilfov,2022,542
Maramures,1990,610
Maramures,1991,691
Maramures,1992,527
Maramures,1993,704
Maramures,1994,942
Maramures,1995,701
Maramures,1996,820
Maramures,1997,774
Maramures,1998,1082
Maramures,1999,804
Maramures,2000,819
Maramures,2001,823
Maramures,2002,823
Maramures,2003,933
Maramures,2004,1020
Maramures,2005,906
Maramures,2006,806
Maramures,2007,1016
Maramures,2008,956
Maramures,2009,811
Maramures,2010,976
Maramures,2011,900
Maramures,2012,785
Maramures,2013,691
Maramures,2014,699
Maramures,2015,799
Maramures,2016,813
Maramures,2017,768
Maramures,2018,756
Maramures,2019,723
Maramures,2020,596
Maramures,2021,639
Maramures,2022,598
Mehedinti,1990,447
Mehedinti,1991,536
Mehedinti,1992,257
Mehedinti,1993,356
Mehedinti,1994,385
Mehedinti,1995,269
Mehedinti,1996,282
Mehedinti,1997,413
Mehedinti,1998,501
Mehedinti,1999,466
Mehedinti,2000,333
Mehedinti,2001,391
Mehedinti,2002,496
Mehedinti,2003,544
Mehedinti,2004,512
Mehedinti,2005,554
Mehedinti,2006,545
Mehedinti,2007,544
Mehedinti,2008,539
Mehedinti,2009,486
Mehedinti,2010,521
