Ev,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bistrita-Nasaud,176,122,65,71,169,117,124,60,81,89,51,66,59,99,84,114,87,71,86,60,144,165,164,123,129,205,187,230,200,159,221,309
Cluj,843,612,306,275,534,423,356,337,327,332,260,298,336,401,295,351,216,248,275,216,297,293,293,195,320,422,435,492,491,308,496,671
Maramures,551,342,214,189,335,256,225,136,86,144,99,97,159,212,168,198,129,100,157,104,165,171,210,150,191,262,285,309,238,195,360,465
Satu Mare,825,616,335,430,445,393,353,248,184,274,128,143,175,261,202,245,123,129,104,102,152,147,159,128,262,261,253,261,281,150,281,322
Salaj,215,105,58,59,117,85,83,73,47,75,60,62,42,74,54,49,22,46,36,38,58,59,69,36,45,74,65,90,91,68,124,128
Alba,581,305,255,142,233,182,162,117,86,103,57,49,107,123,102,150,96,94,111,65,134,144,158,84,109,161,193,212,191,150,236,305
Brasov,1772,993,642,557,813,655,676,478,377,520,321,292,384,483,411,507,350,322,341,247,325,272,329,252,371,510,577,646,586,377,641,861
Covasna,288,233,94,84,174,113,95,67,35,59,37,35,40,75,77,76,60,35,41,42,60,41,62,44,43,58,42,58,65,32,73,79
Harghita,592,422,211,213,420,202,175,112,82,96,78,87,102,238,193,187,73,83,79,57,71,66,63,41,61,67,50,53,59,45,69,99
Mures,1148,860,603,431,596,413,396,276,227,283,232,256,313,495,269,342,188,160,177,142,228,172,202,141,153,222,231,276,245,187,315,377
Sibiu,3575,2726,951,632,887,656,678,401,285,388,156,229,460,511,363,507,299,292,334,213,284,300,316,190,297,396,384,445,376,324,527,602
Bacau,145,78,47,70,136,139,158,140,141,206,148,111,222,295,262,397,234,214,244,187,233,257,302,253,341,481,521,564,636,440,750,1170
Botosani,78,37,30,26,29,51,67,58,52,69,34,36,54,43,61,79,62,86,88,78,132,138,165,102,158,226,236,240,274,208,349,551
Iasi,166,98,51,67,179,178,245,203,155,237,179,71,158,247,262,355,206,219,282,203,410,377,324,320,462,724,789,1071,1063,991,1566,2480
Neamt,137,45,44,66,106,118,142,103,91,166,168,148,187,219,325,454,275,207,176,140,184,220,192,180,214,331,313,403,438,311,496,677
Suceava,400,156,89,93,198,134,168,156,145,224,208,164,233,224,163,234,148,134,142,148,425,463,392,145,176,306,297,360,380,306,568,664
Vaslui,99,26,16,18,40,44,58,57,42,56,24,13,30,58,45,56,71,64,79,54,130,138,184,149,170,294,305,403,490,441,758,1257
Braila,62,41,23,32,82,57,57,54,35,71,38,29,43,60,51,76,62,62,87,54,116,133,141,100,117,186,210,263,237,193,288,330
Buzau,279,28,53,57,48,63,68,77,48,50,45,34,40,46,51,64,62,49,59,54,94,70,129,86,104,188,164,206,219,163,236,308
Constanta,373,206,145,209,258,244,256,208,197,287,123,100,127,181,189,205,138,166,211,162,238,287,320,273,305,481,512,615,546,404,662,827
Galati,102,74,65,69,202,141,126,116,81,106,79,80,133,207,194,270,145,176,178,146,277,270,283,250,300,471,484,639,633,464,787,1244
Tulcea,64,23,21,25,49,37,39,42,29,37,24,21,25,25,34,28,37,43,38,35,61,81,98,75,101,152,166,158,168,145,202,249
Vrancea,71,19,20,28,48,58,72,60,60,108,80,72,111,119,164,187,123,86,82,64,107,98,92,107,117,194,184,228,217,142,231,371
Arges,148,67,49,82,181,140,147,113,99,119,71,48,53,67,53,72,69,80,107,86,115,118,121,96,146,218,226,250,254,199,286,387
Calarasi,180,18,11,18,44,45,45,37,19,44,18,9,25,15,22,25,20,24,24,28,77,71,84,82,84,125,147,140,183,118,156,219
Dambovita,247,37,30,34,45,61,69,40,48,80,51,24,46,74,50,77,70,74,81,75,119,123,148,113,159,226,217,290,254,197,272,397
Giurgiu,164,7,12,1,27,22,18,11,29,24,8,12,14,6,13,17,15,13,16,19,37,47,66,51,63,75,75,114,99,80,106,152
Ialomita,66,18,12,20,24,33,30,24,29,40,23,10,21,21,20,20,17,20,23,26,42,43,96,58,71,140,113,138,110,97,115,233
